Entry,Gene Ontology (biological process)
G2X3G1,phosphorelay signal transduction system [GO:0000160]
G2X4G1,xylan catabolic process [GO:0045493]
G2X5X8,xylan catabolic process [GO:0045493]
G2X8M4,xylan catabolic process [GO:0045493]
G4MRQ6,"mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]"
G4MSY9,methylation [GO:0032259]
G4MZ21,DNA repair [GO:0006281]
G4N954,fatty acid beta-oxidation [GO:0006635]
G4NBR8,regulation of transcription by RNA polymerase II [GO:0006357]
G4NCP4,fatty acid beta-oxidation [GO:0006635]
G7IFI7,L-histidine biosynthetic process [GO:0000105]
G7LCC3,cytokinin-activated signaling pathway [GO:0009736]
G8JYB2,cell adhesion [GO:0007155]; regulation of locomotion [GO:0040012]; Rho protein signal transduction [GO:0007266]
H9C181,symbiont-mediated suppression of host innate immune response [GO:0052170]
I0AIT9,carbohydrate metabolic process [GO:0005975]
I1RQE2,regulation of Rab protein signal transduction [GO:0032483]
I1SSI6,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]
I6YBQ3,response to amino acid [GO:0043200]
I7MD46,exocytosis [GO:0006887]
J9VI85,threonine biosynthetic process [GO:0009088]
J9VIL4,calcium ion import across plasma membrane [GO:0098703]
J9VIY8,'de novo' L-methionine biosynthetic process [GO:0071266]; homoserine metabolic process [GO:0009092]
J9VQZ9,protein localization to plasma membrane [GO:0072659]
J9VS37,'de novo' L-methionine biosynthetic process [GO:0071266]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]
J9VTB0,calcium ion import across plasma membrane [GO:0098703]
J9VU26,threonine biosynthetic process [GO:0009088]
K8ERU3,lysosome fission [GO:0170064]
K9GHZ3,xylan catabolic process [GO:0045493]
L0MZ37,suppression of blood coagulation in another organism [GO:0035899]
L0MZ46,suppression of blood coagulation in another organism [GO:0035899]; suppression of platelet aggregation in another organism [GO:0035893]
M2T5U2,phosphorelay signal transduction system [GO:0000160]
M4MEY9,polysaccharide catabolic process [GO:0000272]
M4MGK7,xylan catabolic process [GO:0045493]
M4MLB5,xylan catabolic process [GO:0045493]
M9PH32,gamete generation [GO:0007276]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; protein ubiquitination [GO:0016567]; regulation of macromolecule metabolic process [GO:0060255]; spermatogenesis [GO:0007283]
O05858,regulation of DNA-templated transcription [GO:0006355]
O05910,regulation of DNA-templated transcription [GO:0006355]
O16224,antibacterial innate immune response [GO:0140367]; defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]
O16327,antibacterial innate immune response [GO:0140367]; defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]
O17899,cellular response to hormone stimulus [GO:0032870]; G protein-coupled receptor signaling pathway [GO:0007186]
O33321,response to amino acid [GO:0043200]
O64191,symbiont-mediated suppression of host innate immune response [GO:0052170]
O96161,iron-sulfur cluster assembly [GO:0016226]
O96533,cellular response to ionizing radiation [GO:0071479]; DNA repair [GO:0006281]; DNA replication checkpoint signaling [GO:0000076]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]
O97297,iron-sulfur cluster assembly [GO:0016226]
P0DRE0,killing of cells of another organism [GO:0031640]
P0DRE1,killing of cells of another organism [GO:0031640]
P0DRE5,killing of cells of another organism [GO:0031640]
P0DRE6,killing of cells of another organism [GO:0031640]
P0DRE7,killing of cells of another organism [GO:0031640]
P0DRE9,killing of cells of another organism [GO:0031640]
P0DRF0,killing of cells of another organism [GO:0031640]
P0DRF1,killing of cells of another organism [GO:0031640]
P0DRF2,killing of cells of another organism [GO:0031640]
P0DRF4,killing of cells of another organism [GO:0031640]
P0DRF5,killing of cells of another organism [GO:0031640]
P0DRF6,killing of cells of another organism [GO:0031640]
P0DRH3,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
P0DRH4,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
P0DRH5,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
P0DRH6,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
P0DXG8,daunorubicin transport [GO:0043215]; doxorubicin transport [GO:1900753]; response to antibiotic [GO:0046677]
P0DXI6,response to strigolactone [GO:1902347]
P0DXN8,defense response to virus [GO:0051607]
P0DXU4,response to antibiotic [GO:0046677]
P0DXU5,daunorubicin transport [GO:0043215]; doxorubicin transport [GO:1900753]; response to antibiotic [GO:0046677]
P0DXU6,response to antibiotic [GO:0046677]
P0DXU7,daunorubicin transport [GO:0043215]; doxorubicin transport [GO:1900753]; response to antibiotic [GO:0046677]
P0DXU8,response to antibiotic [GO:0046677]
P0DXU9,sterol biosynthetic process [GO:0016126]
P0DXV0,sterol biosynthetic process [GO:0016126]
P0DXV1,methylation [GO:0032259]
P0DXV2,methylation [GO:0032259]
P0DXV3,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
P0DXV4,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
P0DXV7,fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]
P0DXV8,fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]
P0DXX4,regulation of DNA-templated transcription [GO:0006355]
P0DXX5,regulation of translation [GO:0006417]
P0DXX6,response to antibiotic [GO:0046677]
P0DXY9,negative regulation of DNA-templated transcription [GO:0045892]
P0DXZ6,arachidonate secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644]
P0DY04,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]; regulation of blood pressure [GO:0008217]
P71888,response to amino acid [GO:0043200]
P96277,symbiont-mediated perturbation of host innate immune response [GO:0052167]
P96857,regulation of DNA-templated transcription [GO:0006355]
P9WEJ4,mitophagy [GO:0000423]
Q059A4,mitochondrial respiratory chain complex I assembly [GO:0032981]
Q0CPG6,secondary metabolic process [GO:0019748]
Q0CPG8,sesquiterpenoid biosynthetic process [GO:0016106]
Q0CPG9,isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]
Q10SS2,pollen wall assembly [GO:0010208]
Q177W0,regulation of defense response to virus [GO:0050688]
Q17NR1,antibacterial humoral response [GO:0019731]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]
Q17NR4,antibacterial humoral response [GO:0019731]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]
Q1LZ24,chromatin organization [GO:0006325]; positive regulation of transcription by RNA polymerase II [GO:0045944]
Q1MWN4,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; antibiotic biosynthetic process [GO:0017000]; secondary metabolite biosynthetic process [GO:0044550]
Q1PA41,exocytosis [GO:0006887]
Q22HI5,exocytosis [GO:0006887]
Q239Y2,exocytosis [GO:0006887]; plasma membrane organization [GO:0007009]
Q2PAY2,mitotic DNA damage checkpoint signaling [GO:0044773]
Q2R560,chloroplast organization [GO:0009658]; regulation of leaf senescence [GO:1900055]; regulation of reactive oxygen species metabolic process [GO:2000377]
Q2TR58,antibiotic catabolic process [GO:0017001]; cell wall organization [GO:0071555]; response to antibiotic [GO:0046677]
Q2TXQ1,methylation [GO:0032259]; polyketide biosynthetic process [GO:0030639]
Q2TXQ7,aflatoxin biosynthetic process [GO:0045122]; polyketide biosynthetic process [GO:0030639]; positive regulation of secondary metabolite biosynthetic process [GO:1900378]
Q2TXQ8,fatty acid biosynthetic process [GO:0006633]; phenol-containing compound biosynthetic process [GO:0046189]; polyketide biosynthetic process [GO:0030639]; toxin biosynthetic process [GO:0009403]
Q2TXQ9,methylation [GO:0032259]; polyketide biosynthetic process [GO:0030639]
Q2WE96,oxylipin biosynthetic process [GO:0031408]; sterol metabolic process [GO:0016125]
Q31P89,DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]
Q3J189,carotenoid biosynthetic process [GO:0016117]
Q47720,cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]
Q4J8Q7,biosynthetic process [GO:0009058]
Q4J8R2,"base-excision repair, AP site formation [GO:0006285]"
Q4WD22,carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]
Q4WMW2,carbohydrate metabolic process [GO:0005975]; chitin metabolic process [GO:0006030]; fungal-type cell wall organization [GO:0031505]
Q4WTH5,cellular response to osmotic stress [GO:0071470]; fungal-type cell wall organization [GO:0031505]; protein dephosphorylation [GO:0006470]; signal transduction [GO:0007165]
Q4WWR8,'de novo' L-methionine biosynthetic process [GO:0071266]; homoserine biosynthetic process [GO:0009090]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]
Q4WXE6,carbohydrate metabolic process [GO:0005975]
Q4WXF4,glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]
Q53AM4,fusion of virus membrane with host endosome membrane [GO:0039654]; proteolysis [GO:0006508]; symbiont entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062]
Q584D1,cardiolipin biosynthetic process [GO:0032049]; inner mitochondrial membrane organization [GO:0007007]; mitochondrial cytochrome c oxidase assembly [GO:0033617]; mitochondrial respiratory chain complex assembly [GO:0033108]; mitochondrial respiratory chain complex III assembly [GO:0034551]; mitochondrion organization [GO:0007005]; oxidative phosphorylation [GO:0006119]
Q58T34,GDP-L-fucose salvage [GO:0042352]
Q59I63,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]; myelination of posterior lateral line nerve axons [GO:0048932]; oligodendrocyte development [GO:0014003]; peripheral nervous system myelin maintenance [GO:0032287]; regulation of oligodendrocyte progenitor proliferation [GO:0070445]; Rho-activating G protein-coupled receptor signaling pathway [GO:0160221]; swimming behavior [GO:0036269]
Q5ALM0,homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]
Q5AY39,fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; polyketide biosynthetic process [GO:0030639]; secondary metabolic process [GO:0019748]; secondary metabolite biosynthetic process [GO:0044550]
Q5AY40,regulation of DNA-templated transcription [GO:0006355]
Q5AY42,DNA-templated transcription [GO:0006351]
Q5EP34,cap snatching [GO:0075526]; DNA-templated transcription [GO:0006351]; symbiont-mediated suppression of host gene expression [GO:0039657]; symbiont-mediated suppression of host mRNA transcription via inhibition of RNA polymerase II activity [GO:0039523]; viral RNA genome replication [GO:0039694]; viral translational frameshifting [GO:0075523]
Q5F676,cell wall organization [GO:0071555]; proteolysis [GO:0006508]
Q5F6V8,"DNA recombination [GO:0006310]; DNA replication initiation [GO:0006270]; DNA replication, synthesis of primer [GO:0006269]; double-strand break repair [GO:0006302]"
Q5F9Y4,proteolysis [GO:0006508]
Q5JE51,translation [GO:0006412]
Q5JGN5,ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
Q5JHC6,rRNA acetylation [GO:1990882]; rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]
Q5JIV0,cytosolic ribosome assembly [GO:0042256]
Q5JJG6,translation [GO:0006412]
Q5KIM6,cytoplasmic translational elongation [GO:0002182]
Q5KPK7,'de novo' L-methionine biosynthetic process [GO:0071266]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]
Q5SC47,symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of MDA-5 activity [GO:0039554]; symbiont-mediated suppression of host type I interferon-mediated signaling pathway [GO:0039502]
Q5SC51,symbiont entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062]
Q5SC53,fusion of virus membrane with host plasma membrane [GO:0019064]; symbiont entry into host cell [GO:0046718]
Q5SC54,virion assembly [GO:0019068]
Q5TVM9,AMP catabolic process [GO:0006196]; digestive system process [GO:0022600]; host-mediated perturbation of symbiont process [GO:0051851]; modulation of process of another organism [GO:0035821]; suppression of platelet aggregation in another organism [GO:0035893]; venom-mediated fibrinolysis [GO:0044484]
Q5U117,compound eye morphogenesis [GO:0001745]; fatty acid beta-oxidation [GO:0006635]; lipid homeostasis [GO:0055088]; medium-chain fatty acid catabolic process [GO:0051793]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of cellular response to oxidative stress [GO:1900408]; response to endoplasmic reticulum stress [GO:0034976]; sexual reproduction [GO:0019953]
Q68Y81,DNA repair [GO:0006281]
Q6NP91,detection of humidity stimulus involved in sensory perception [GO:0098512]; lysosome organization [GO:0007040]; mechanosensory behavior [GO:0007638]; monoatomic cation transmembrane transport [GO:0098655]; monoatomic cation transport [GO:0006812]; monoatomic ion transmembrane transport [GO:0034220]; regulation of response to food [GO:0032095]
Q6XEC0,antibiotic catabolic process [GO:0017001]; cell wall organization [GO:0071555]; response to antibiotic [GO:0046677]
Q6ZI01,protein folding [GO:0006457]
Q70KH3,antibiotic biosynthetic process [GO:0017000]; methylation [GO:0032259]
Q70KH6,antibiotic biosynthetic process [GO:0017000]
Q7DDD9,regulation of DNA-templated transcription [GO:0006355]
Q7K6A5,transmembrane transport [GO:0055085]
Q7PYT9,carbohydrate metabolic process [GO:0005975]
Q7TQN4,animal organ morphogenesis [GO:0009887]; antiviral innate immune response [GO:0140374]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to angiotensin [GO:1904385]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to nicotine [GO:0071316]; cellular response to peptidoglycan [GO:0071224]; cellular response to tumor necrosis factor [GO:0071356]; chromatin organization [GO:0006325]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; defense response to tumor cell [GO:0002357]; DNA-templated transcription [GO:0006351]; hair follicle development [GO:0001942]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; liver development [GO:0001889]; negative regulation of angiogenesis [GO:0016525]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of miRNA transcription [GO:1902894]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein sumoylation [GO:0033234]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuropeptide signaling pathway [GO:0007218]; non-canonical NF-kappaB signal transduction [GO:0038061]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of miRNA metabolic process [GO:2000630]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of Schwann cell differentiation [GO:0014040]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular endothelial growth factor production [GO:0010575]; postsynapse to nucleus signaling pathway [GO:0099527]; prolactin signaling pathway [GO:0038161]; protein catabolic process [GO:0030163]; regulation of DNA-templated transcription [GO:0006355]; regulation of inflammatory response [GO:0050727]; regulation of transcription by RNA polymerase II [GO:0006357]; response to amino acid [GO:0043200]; response to bacterium [GO:0009617]; response to cAMP [GO:0051591]; response to cobalamin [GO:0033590]; response to cytokine [GO:0034097]; response to ethanol [GO:0045471]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to interleukin-1 [GO:0070555]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to morphine [GO:0043278]; response to muramyl dipeptide [GO:0032495]; response to muscle stretch [GO:0035994]; response to progesterone [GO:0032570]; response to UV-B [GO:0010224]; response to xenobiotic stimulus [GO:0009410]; signal transduction involved in regulation of gene expression [GO:0023019]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor TLR6:TLR2 signaling pathway [GO:0038124]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vascular endothelial growth factor signaling pathway [GO:0038084]
Q83XP3,antibiotic biosynthetic process [GO:0017000]; methylation [GO:0032259]
Q83YH3,carotenoid biosynthetic process [GO:0016117]
Q8CWM9,DNA recombination [GO:0006310]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; double-strand break repair [GO:0006302]
Q8H305,flavonoid biosynthetic process [GO:0009813]; pollen wall assembly [GO:0010208]; polyketide biosynthetic process [GO:0030639]; sporopollenin biosynthetic process [GO:0080110]
Q8I397,iron import into the mitochondrion [GO:0048250]
Q8I3M7,iron ion transmembrane transport [GO:0034755]; manganese ion transport [GO:0006828]
Q8I4Z1,exocytosis [GO:0006887]; symbiont entry into host [GO:0044409]
Q8IBI5,cysteine metabolic process [GO:0006534]; iron-sulfur cluster assembly [GO:0016226]
Q8IDH9,transmembrane transport [GO:0055085]
Q8IEK7,iron-sulfur cluster assembly [GO:0016226]
Q8IIR7,intracellular protein transport [GO:0006886]
Q8IJI1,zinc ion transmembrane transport [GO:0071577]
Q8IKT4,intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]
Q8IP99,regulation of transcription by RNA polymerase II [GO:0006357]
Q8IPA1,regulation of transcription by RNA polymerase II [GO:0006357]
Q8IPZ3,ubiquinone biosynthetic process [GO:0006744]
Q8IQA2,male germline stem cell symmetric division [GO:0098730]; negative regulation of translation [GO:0017148]
Q8KN66,cell wall organization [GO:0071555]; lipopolysaccharide biosynthetic process [GO:0009103]
Q8LDU1,heme catabolic process [GO:0042167]; tetrapyrrole biosynthetic process [GO:0033014]
Q8MVC4,envenomation resulting in negative regulation of voltage-gated potassium channel activity in another organism [GO:0044562]
Q8QV65,symbiont entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062]
Q8QV69,symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of MDA-5 activity [GO:0039554]; symbiont-mediated suppression of host type I interferon-mediated signaling pathway [GO:0039502]
Q8U3G4,rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]
Q8XAN6,biological process involved in symbiotic interaction [GO:0044403]
Q8ZL97,regulation of DNA-templated transcription [GO:0006355]
Q90YL6,cartilage development [GO:0051216]; digestive tract development [GO:0048565]; exocrine pancreas development [GO:0031017]; hepatoblast differentiation [GO:0061017]; hormone-mediated signaling pathway [GO:0009755]; liver development [GO:0001889]; positive regulation of tendon cell differentiation [GO:2001051]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; somatic stem cell population maintenance [GO:0035019]; tissue development [GO:0009888]
Q95P65,AMP catabolic process [GO:0006196]; suppression of platelet aggregation in another organism [GO:0035893]
Q97U12,rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]
Q97ZJ8,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]
Q980C5,rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]
Q9CPU3,single fertilization [GO:0007338]
Q9CZP3,negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; regulation of DNA-templated transcription [GO:0006355]
Q9DQA5,negative stranded viral RNA replication [GO:0039689]; negative stranded viral RNA transcription [GO:0039697]
Q9HUT5,negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]
Q9J4L4,virion assembly [GO:0019068]
Q9JAE0,fusion of virus membrane with host plasma membrane [GO:0019064]; symbiont entry into host cell [GO:0046718]
Q9JN36,proteolysis [GO:0006508]
Q9K163,cell wall organization [GO:0071555]; proteolysis [GO:0006508]
Q9KJT3,cellular response to phosphate starvation [GO:0016036]
Q9KJT4,regulation of DNA-templated transcription [GO:0006355]
Q9KZP3,cardiolipin biosynthetic process [GO:0032049]; glycerophospholipid biosynthetic process [GO:0046474]; plasma membrane organization [GO:0007009]
Q9L391,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
Q9L392,DNA repair [GO:0006281]
Q9L393,nucleobase catabolic process [GO:0046113]
Q9LYL8,microsporogenesis [GO:0009556]; regulation of sister chromatid cohesion [GO:0007063]
Q9RHD7,cell wall organization [GO:0071555]; lipopolysaccharide biosynthetic process [GO:0009103]
Q9UVF9,xylan catabolic process [GO:0045493]
Q9VBV8,protein N-linked glycosylation [GO:0006487]
Q9VC03,NAD biosynthetic process [GO:0009435]; NAD biosynthetic process via the salvage pathway [GO:0034355]; negative regulation of neuromuscular synaptic transmission [GO:1900074]; neuron projection maintenance [GO:1990535]; photoreceptor cell maintenance [GO:0045494]
Q9VCN9,positive regulation of transcription by RNA polymerase II [GO:0045944]
Q9VDE8,cell population proliferation [GO:0008283]; DNA damage response [GO:0006974]; integrator complex assembly [GO:0160234]
Q9VGE2,transcription by RNA polymerase II [GO:0006366]
Q9VGV8,chaperone-mediated protein folding [GO:0061077]; microtubule cytoskeleton organization [GO:0000226]
Q9VHC5,behavioral response to ethanol [GO:0048149]; circadian behavior [GO:0048512]; negative regulation of heterochromatin formation [GO:0031452]; regulation of piRNA transcription [GO:0140542]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9VHK6,"[2Fe-2S] cluster assembly [GO:0044571]; intracellular iron ion homeostasis [GO:0006879]; positive regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902958]"
Q9VJ10,mitochondrial respiratory chain complex I assembly [GO:0032981]
Q9VJ31,methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]; S-methylmethionine cycle [GO:0033528]
Q9VJ90,mitotic DNA damage checkpoint signaling [GO:0044773]
Q9VJG4,negative regulation of oxidative phosphorylation [GO:0090324]; respiratory electron transport chain [GO:0022904]
Q9VLM7,mitochondrial respiratory chain complex I assembly [GO:0032981]
Q9VMK3,follicle cell microvillus organization [GO:0032529]; vitelline membrane formation involved in chorion-containing eggshell formation [GO:0007305]
Q9VN60,double-strand break repair via homologous recombination [GO:0000724]; female pronucleus assembly [GO:0035038]; meiotic DNA integrity checkpoint signaling [GO:0044778]; meiotic recombination checkpoint signaling [GO:0051598]; mitotic DNA damage checkpoint signaling [GO:0044773]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; nucleotide-excision repair [GO:0006289]; oocyte karyosome formation [GO:0030717]; oocyte localization involved in germarium-derived egg chamber formation [GO:0030720]; synaptonemal complex disassembly [GO:0070194]; telomere maintenance [GO:0000723]
Q9VPC1,mitochondrial respiratory chain complex I assembly [GO:0032981]
Q9VPT4,positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]
Q9VQB6,SAGA complex assembly [GO:0036285]
Q9VQD4,DNA damage checkpoint signaling [GO:0000077]; DNA repair [GO:0006281]
Q9VT00,chromatin remodeling [GO:0006338]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of gene expression [GO:0010468]
Q9VU77,circadian behavior [GO:0048512]
Q9VU86,chromatin organization [GO:0006325]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9W0M3,circadian behavior [GO:0048512]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of DNA-templated transcription [GO:0045892]; rhythmic process [GO:0048511]
Q9W1H9,mitochondrial respiratory chain complex I assembly [GO:0032981]
Q9W2I4,chromatin remodeling [GO:0006338]
Q9W3Y1,eggshell chorion gene amplification [GO:0007307]; embryonic development via the syncytial blastoderm [GO:0001700]; endomitotic cell cycle [GO:0007113]; mitotic DNA damage checkpoint signaling [GO:0044773]; positive regulation of DNA replication [GO:0045740]
Q9WAF5,symbiont entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062]
Q9Z0L6,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; bone mineralization [GO:0030282]; calcium ion homeostasis [GO:0055074]; cell-cell signaling [GO:0007267]; homeostasis of number of cells within a tissue [GO:0048873]; intracellular calcium ion homeostasis [GO:0006874]; magnesium ion homeostasis [GO:0010960]; negative regulation of apoptotic process in bone marrow cell [GO:0071866]; negative regulation of bone mineralization involved in bone maturation [GO:1900158]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of gene expression [GO:0010629]; phosphate ion homeostasis [GO:0055062]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cell proliferation in bone marrow [GO:0071864]; positive regulation of D-glucose import [GO:0046326]; positive regulation of gene expression [GO:0010628]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of inositol phosphate biosynthetic process [GO:0060732]; positive regulation of osteoclast proliferation [GO:0090290]; positive regulation of signal transduction [GO:0009967]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; response to cadmium ion [GO:0046686]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to lead ion [GO:0010288]; response to parathyroid hormone [GO:0071107]; response to vitamin D [GO:0033280]; response to xenobiotic stimulus [GO:0009410]; Rho protein signal transduction [GO:0007266]; signal transduction [GO:0007165]; transcription by RNA polymerase II [GO:0006366]
Q9ZIH2,cobalt ion transport [GO:0006824]; nickel cation transport [GO:0015675]; zinc ion transport [GO:0006829]
Q9ZPL5,methionine biosynthetic process [GO:0009086]; transsulfuration [GO:0019346]
R4H5E1,defense response to bacterium [GO:0042742]
S8EV69,cell division [GO:0051301]
S8EXU2,intracellular iron ion homeostasis [GO:0006879]
U5T7E4,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
V9TNS0,polysaccharide catabolic process [GO:0000272]
V9TS54,xylan catabolic process [GO:0045493]
V9TT49,carbohydrate metabolic process [GO:0005975]
W1QAK2,peroxisome organization [GO:0007031]
W1QDU5,peroxisome organization [GO:0007031]
W1QET1,protein urmylation [GO:0032447]; tRNA wobble position uridine thiolation [GO:0002143]
W1QHP2,peroxisome organization [GO:0007031]
W1QL91,peroxisome organization [GO:0007031]
X0JZ91,regulation of Rab protein signal transduction [GO:0032483]
